time [nanoSec],	 voltage[mV] 
2122,	 -0.007625
2124,	 -0.006932
2126,	 -0.007105
2128,	 -0.007279
2130,	 -0.007625
2132,	 -0.007105
2134,	 -0.007279
2136,	 -0.007451
2138,	 -0.007625
2140,	 -0.007279
2142,	 -0.006759
2144,	 -0.007279
2146,	 -0.007625
2148,	 -0.006759
2150,	 -0.007279
2152,	 -0.007451
2154,	 -0.007451
2156,	 -0.006932
2158,	 -0.007105
2160,	 -0.007105
2162,	 -0.007798
2164,	 -0.006759
2166,	 -0.007105
2168,	 -0.007451
2170,	 -0.007972
2172,	 -0.006932
2174,	 -0.007451
2176,	 -0.007451
2178,	 -0.007451
2180,	 -0.007279
2182,	 -0.007451
2184,	 -0.006759
2186,	 -0.007625
2188,	 -0.007279
2190,	 -0.007451
2192,	 -0.006759
2194,	 -0.007279
2196,	 -0.007105
2198,	 -0.007972
2200,	 -0.007625
2202,	 -0.007972
2204,	 -0.007105
2206,	 -0.007625
2208,	 -0.007105
2210,	 -0.007972
2212,	 -0.007451
2214,	 -0.007625
2216,	 -0.007451
2218,	 -0.007279
2220,	 -0.007451
2222,	 -0.007625
2224,	 -0.007798
2226,	 -0.007451
2228,	 -0.007279
2230,	 -0.007279
2232,	 -0.007625
2234,	 -0.007105
2236,	 -0.007279
2238,	 -0.007279
2240,	 -0.007798
2242,	 -0.007625
2244,	 -0.006412
2246,	 -0.007451
2248,	 -0.007451
2250,	 -0.007625
2252,	 -0.006932
2254,	 -0.007105
2256,	 -0.007105
2258,	 -0.007451
2260,	 -0.006759
2262,	 -0.007279
2264,	 -0.007279
2266,	 -0.007451
2268,	 -0.006759
2270,	 -0.007105
2272,	 -0.007279
2274,	 -0.007279
2276,	 -0.007451
2278,	 -0.007279
2280,	 -0.007279
2282,	 -0.007105
2284,	 -0.006759
2286,	 -0.006759
2288,	 -0.007105
2290,	 -0.007451
2292,	 -0.006759
2294,	 -0.007798
2296,	 -0.007279
2298,	 -0.007625
2300,	 -0.007279
2302,	 -0.006932
2304,	 -0.007279
2306,	 -0.007625
2308,	 -0.006932
2310,	 -0.007105
2312,	 -0.006932
2314,	 -0.007451
2316,	 -0.007279
2318,	 -0.007105
2320,	 -0.007279
2322,	 -0.007105
2324,	 -0.007279
2326,	 -0.007105
2328,	 -0.007279
2330,	 -0.007105
2332,	 -0.007279
2334,	 -0.007105
2336,	 -0.007279
2338,	 -0.007451
2340,	 -0.006932
2342,	 -0.007279
2344,	 -0.007105
2346,	 -0.007451
2348,	 -0.007279
2350,	 -0.006759
2352,	 -0.007451
2354,	 -0.007105
2356,	 -0.006932
2358,	 -0.007279
